Twitter Profile,Name,Description,Website,Price ETH,Twitter User Created,Twitter User Description,Twitter User Favourites Count,Twitter User Followers Count,Twitter User Friends Count,Twitter User Listed Count,Twitter User Statuses Count,Twitter User Media Count,Twitter User Location,Twitter User Profile Banner Url,Twitter User Profile Image Url
FishTank_NFT,Fishtank NFT,Fish avatar NFTs,fish-tank.io,0.06,2021-10-06 14:58:38+00:00,"Hand drawn & computer generated unique 1111 Fishes #NFT!
💫25% Donation to different Save the Ocean Charitys💫
linktr.ee/FISHTANK.NFT",87.0,266.0,76.0,2.0,66.0,50.0,Metalake,https://pbs.twimg.com/profile_banners/1445765420737126400/1633532605,https://pbs.twimg.com/profile_images/1445766532911435790/1EnJ2oCc_normal.jpg
chonksocietyNFT,Chonk Society,Animal pet themed NFTs,chonksociety.com,0.04,2021-10-02 03:10:26+00:00,"1,500 CHONKS LAUNCHING on 11/11 🔥 
A women-led project on a mission to donate $1,000,000 to pet rescues around the world 🌎 
📍 chonksociety.com",1078.0,417.0,118.0,3.0,283.0,125.0,Join us on Discord 👉,https://pbs.twimg.com/profile_banners/1444137546728951818/1633746609,https://pbs.twimg.com/profile_images/1457756777873772544/oetmon3u_normal.jpg
kumoxworld,Kumo X World,"An interactive, community focused NFT project with an adventure RPG",kumoxworld.com,0.06,2021-08-16 12:19:20+00:00,Welcome to Kumo's World where you can be at home with your inner child! PUBLIC Drop date - 12th November 11:11:11 GMT+0000 ! discord.gg/kumoxworld,1933.0,1215.0,13.0,5.0,906.0,207.0,Kumo’s World,https://pbs.twimg.com/profile_banners/1427243513280933889/1635036735,https://pbs.twimg.com/profile_images/1427249260555296768/mhU1tFRL_normal.jpg
Uniquehorns_nft,The Rocking Uniquehorns,Unicorn NFTs rocking on the Ethereum blockchain,rockinguniquehorns.com,0.0666,2021-08-30 05:46:07+00:00,"9,990 Audiovisual NFTs rocking on the blockchain. Musicians and TRUe fans. It's all about community.🤘 Join us: discord.gg/rockinguniqueh…",2266.0,1873.0,709.0,12.0,1036.0,320.0,"The Bandroom (26, -118)",https://pbs.twimg.com/profile_banners/1432217938573111299/1633047807,https://pbs.twimg.com/profile_images/1440762010644320260/jEK9mAr2_normal.jpg
metaboom_nft,MetaBoom by Fansi,80s' boombox themed NFTs,metaboom.fansi.me,0.05,2021-09-22 03:10:12+00:00,"Carry your favorite music NFTs on your PFP's shoulders. 
Music ecosystem designed for web3.0, founded by 2 #MAYC
Discord: discord.gg/UyVtcD459a",1057.0,6773.0,884.0,10.0,718.0,255.0,Metaverse,https://pbs.twimg.com/profile_banners/1440513519653322762/1633426012,https://pbs.twimg.com/profile_images/1455946327305879552/ie6QWKzW_normal.jpg
fight_doge,Doge Fight Club,Boxing themed dog avatar NFTs,www.dogefightclub.com,0.08,2021-08-19 01:07:44+00:00,"6,200 Doges are fighting for victory in the Metaverse. 🥊
DFC holders will vote on the Community DAO and earn $ KRP. 🐶
Whitelist: forms.gle/XMTQ3",1234.0,2497.0,328.0,2.0,1405.0,108.0,0.08Ξ | Coming Nov 14 2021,https://pbs.twimg.com/profile_banners/1428161479476383745/1630451509,https://pbs.twimg.com/profile_images/1428162277535014912/M1mryyxb_normal.jpg
thedragonverse,DragonVerse,Dragon NFTs with game tie-in,www.dragonverse.io,0.08,2021-09-30 08:05:03+00:00,DragonVerse is a PVP desktop and mobile game using NFTs 🐲 First generation of 9'999 Dragons will fight for gold soon 🏆 Join us: discord.gg/wKR3fn6yy3,15.0,11046.0,8.0,3.0,29.0,15.0,DragonVerse,https://pbs.twimg.com/profile_banners/1443486790959124482/1634854136,https://pbs.twimg.com/profile_images/1455454060031717377/wsPp-1rc_normal.jpg
Moondusa,Moondusa,Medusa themed avatar NFTs,moondusa.io,0.07,2010-04-22 06:50:55+00:00,"You can find 👀 Moondusa floating through outer space iced out and dripping in designer, preferably Versace💰",3010.0,16599.0,1653.0,4.0,211.0,49.0,"Miami, FL",https://pbs.twimg.com/profile_banners/135782202/1636453061,https://pbs.twimg.com/profile_images/1452088467698163716/yLIfcmK9_normal.jpg
FruitOnSpace,Fruitos,3D humanoid fruit in-game character NFTs,thefruitos.com,0.049,2021-08-31 06:36:06+00:00,"Welcome to Fruitos, the character NFT based fruit game.
(Total Supply: 6789) #ETH #NFT
 🎉Presale: 12th Nov, Public: 14th Nov🎉 
Discord: discord.gg/fruitos",59.0,16480.0,260.0,9.0,129.0,72.0,Space,https://pbs.twimg.com/profile_banners/1432592991802347520/1631146932,https://pbs.twimg.com/profile_images/1435035284945743881/HlNMnUND_normal.jpg
Sweetyarddog,Sweetyard Dogs,Dog themed NFTs on Ethereum,sweetyard.dog,0.05,2021-09-08 07:05:31+00:00,Welcome to SWEETYARD. Here are 10K unique Sweetyard Dogs #NFT discovered deep within the Dogeverse. Discord: discord.gg/E7rWkzrRab,6148.0,3703.0,2965.0,2.0,2085.0,106.0,sweetyard ,https://pbs.twimg.com/profile_banners/1435499473908617225/1635326227,https://pbs.twimg.com/profile_images/1453289485358313486/byXrzkOs_normal.jpg
AngelsOasisNFT,Angels Oasis,Angel themed avatar NFTs,angelsoasis.io,0.05,2021-10-08 10:57:07+00:00,"8,888 Diverse, Unique & Beautiful winged women living in the NFT world! 🚀 Launch: Nov 13th 🚀 Founder: @AngelMelly   Join Us: discord.gg/EebKGjany3",2649.0,16983.0,199.0,4.0,198.0,46.0,Metaverse,https://pbs.twimg.com/profile_banners/1446429103989477380/1635388607,https://pbs.twimg.com/profile_images/1457724364619538432/F35O_22B_normal.jpg
tastytoastys,Tasty Toastys,Toast themed NFTs,www.tastytoastys.io,0.038,2021-08-27 17:18:11+00:00,"Serving you the world's first collection of 7,600 randomly generated Non-Fungible Toasts, by @chanelcoco 🥪 || discord.gg/tastytoastys || Launch - 13 Nov",596.0,2010.0,1084.0,4.0,364.0,129.0,The Ethereum Breadchain,https://pbs.twimg.com/profile_banners/1431304969366343683/1631107867,https://pbs.twimg.com/profile_images/1434742731272720388/I8vygiO4_normal.jpg
ThePangaensNFT,The Pangaens NFT,Pangaea continent themed avatar NFTs,www.thepangaensnft.com,0.05,2021-09-19 11:03:05+00:00,"The Pangaens Trilogy 💥3 Chapters,1 Mythical Legend 💥8888 NFTs 💥All Women Team (doxxed) 💥5% to social causes",7739.0,7154.0,347.0,9.0,1236.0,146.0,Singapore,https://pbs.twimg.com/profile_banners/1439545481898561541/1633962211,https://pbs.twimg.com/profile_images/1452262752261705733/YKT39pxu_normal.jpg
MetalHeadsNFT,MetalHeads,Unique metal head themed NFTs,metalheadsnft.com,0.1,2021-09-23 04:23:01+00:00,Metal is better than flesh. 4888 unique MetalHeads await you at Eternal City.  discord.gg/MetalHeads | opensea.io/collection/met…,152.0,4065.0,6.0,9.0,120.0,66.0,Eternal City,https://pbs.twimg.com/profile_banners/1440894311403384835/1633699145,https://pbs.twimg.com/profile_images/1446465164128120835/6ufbELqw_normal.jpg
GemstonesNFT,Gemstones,Gemstone themed NFTs,gemstonesnft.art,0.0,2021-09-30 19:36:29+00:00,"4,500 AI generated Gemstones 
Collect 5 to join the Blue Diamond Club 💎 
💬 discord.gg/d3Hxf7TapP
#Solana #SolanaNFT",625.0,1827.0,1575.0,1.0,277.0,129.0,Solana,https://pbs.twimg.com/profile_banners/1443659624209686528/1635645894,https://pbs.twimg.com/profile_images/1446260979285778433/C8I0fuCJ_normal.jpg
CUBOTZ_NFT,CUBOTZ NFT,Generative bot themed PFPs with plans for gaming and metaverse expansions,www.cubotz.io,0.05,2021-09-02 19:02:32+00:00,"⚡️ 9,999 unique CUBOTZ NFTs! ⚡️Upcoming Sandbox game⚡️Join the Discord! 🔥 PRE-SALE SOLD OUT! ⚡️MAIN SALE: NOV 13 ⚡️ Official links linktr.ee/cubotz",1763.0,2554.0,1346.0,2.0,374.0,172.0,@METAVERSE,https://pbs.twimg.com/profile_banners/1433505587078311942/1635695922,https://pbs.twimg.com/profile_images/1446945435629887491/UA_Gbvrb_normal.jpg
Digi_metaverse,DigiAvatar for DigiNation,Digital avatar NFTs,digiavatar.digination.io,0.08,2021-09-03 03:50:35+00:00,"Web3 #Metaverse featuring #NFT-based innovation | Discord for Whitelisting: discord.gg/jVEgfkb5Fm

Public Mint begins Nov 15! 💎

#GameFi #NFTGame #DigiNation",124.0,20964.0,304.0,2.0,170.0,65.0,Metaverse,https://pbs.twimg.com/profile_banners/1433638298887491601/1636261364,https://pbs.twimg.com/profile_images/1448977356891181056/0agutYSb_normal.jpg
PigeonzNFT,Notorious Pigeonz,Pigeon themed NFTs,notorious.pigeonz.io,0.06,2021-09-18 05:18:32+00:00,Notorious Pigeonz is an #NFT on the Ethereum blockchain. Discord - discord.gg/6sffc88MYg  #MetaVerse -TheRize888 (Team Member),253.0,5595.0,168.0,5.0,224.0,108.0,PigEden and Sky Rat City,https://pbs.twimg.com/profile_banners/1439096398318764035/1634788904,https://pbs.twimg.com/profile_images/1452921707228905473/hPAZdMYv_normal.jpg
shibaverse33,Shibaverse,Shiba Inu pixel art NFT collection on Ethereum,shibaverse.party,0.069,2021-10-24 11:42:29+00:00,"3333 Shiba Inus
DoggyDAO | Treasury | Staking | Token 
shibaverse.party
discord.gg/shibaverse",6684.0,1182.0,1.0,1.0,35.0,10.0,shibaverse.party,https://pbs.twimg.com/profile_banners/1452239023951470602/1635762744,https://pbs.twimg.com/profile_images/1452241595407941636/y1b8x2MU_normal.jpg
TropicalOtters,Tropical Otters,Otter avatar NFTs,tropicalotters.io,0.05,2021-10-23 15:23:56+00:00,"Tropical Otters 🦦 is a collection of 5,000 randomly generated NFTs

Affiliated with @TropiTurtles

Discord: discord.gg/tropicalfriends",15.0,3813.0,24.0,3.0,15.0,7.0,NOVEMBER 14th - 2 PM EST,https://pbs.twimg.com/profile_banners/1451932359171977216/1635085274,https://pbs.twimg.com/profile_images/1451934676055171072/lVBiY0IA_normal.jpg
Lazybonesnft,LazyBones SpaceTrip,Exploring the universe themed sloth NFTs,www.lazybonesnft.io,0.04,2021-04-22 18:10:58+00:00,"🚀 10,000 LazyBones are exploring the mysteries of the Universe! 
🦥 LazyExplorers: discord.gg/Jpbmmzc8AP 
🔗 Links: linktr.ee/lazybonesspace",978.0,4582.0,1191.0,10.0,237.0,159.0,Hyper Blackhole: 803:86:800:79,https://pbs.twimg.com/profile_banners/1385295022329827336/1633709938,https://pbs.twimg.com/profile_images/1452287421756977161/ZppEQCHM_normal.jpg
KoinDeck,KoinDeck,Unique skate deck art NFTs,koindeck.gg,0.068,2021-08-09 00:58:45+00:00,"8,888 Unique Skate Decks To Collect. Join The Skate Park. Instagram: instagram.com/koindecknft Discord: discord.gg/KoinDeck #KoinDeckNFT🛹",112.0,1587.0,272.0,3.0,50.0,34.0,,https://pbs.twimg.com/profile_banners/1424535518369521667/1632714408,https://pbs.twimg.com/profile_images/1442335269294804993/TSp93Kx7_normal.jpg
UnitedToads,United Toads,Toad themed collectible PFP project,unitedtoads.com,0.02,2021-09-16 03:24:13+00:00,"Limited 4,999 algorithmically generated, one of a kind Toad! Welcome to the rainforest discord.gg/GVEcSCsAzW 👨‍🎨 @kbrushyy",377.0,2240.0,15.0,2.0,45.0,13.0,Etherum Blockchain,https://pbs.twimg.com/profile_banners/1438342893647941634/1635642750,https://pbs.twimg.com/profile_images/1443792928778903553/kU9zwG84_normal.jpg
SovereignDegens,Sovereign Degens,Unique storyline driven NFT series on Ethereum,sovereigndegens.com,0.08,2021-09-07 08:48:36+00:00,Presale: 0.06 ETH  #NFT Play-To-Earn Challenges • Community #DAO • Incoming Native Token Discord @ discord.gg/Y9ddGMWmxG,283.0,4642.0,70.0,4.0,276.0,62.0,Meta-metaverse,https://pbs.twimg.com/profile_banners/1435162987346726914/1634843440,https://pbs.twimg.com/profile_images/1451443694372933635/2tm9gvHN_normal.jpg
coochycoopanda?s=21,Coochycoo pandas,Panda avatar NFTs,coochycoopandas.co,0.07,,,,,,,,,,,
Metaciple,NFT AVATAR MAKER,Designable avatar themed NFTs,www.nftavatarmaker.com,0.0369,2013-06-08 08:47:17+00:00,"Kelvin Troy AKA MasterBuZ. 

👁Magus, 💀Monster, 🐪Camel, 👺On1 and 🍌Ex-ape.

NFT Producer and Creator.

Want to collab? Please email Press@NFTMediaBox.com",6448.0,7375.0,5734.0,34.0,1994.0,216.0,,https://pbs.twimg.com/profile_banners/1492372046/1633469665,https://pbs.twimg.com/profile_images/1455533572283060228/20YGY-BI_normal.jpg
IXPanthers,IX Panthers,Hand drawn panther themed NFTs with plans for metaverse expansion,www.ixpanthers.com,0.065,2021-09-21 19:01:33+00:00,"A new mythology is coming to the ERC. Get ready, the awakening is near. Presale date: Mid November Discord: discord.gg/bxHHTAp34y Opensea: Coming Soon",85.0,4322.0,11.0,15.0,144.0,29.0,ERC-721,https://pbs.twimg.com/profile_banners/1440390666140274690/1634718248,https://pbs.twimg.com/profile_images/1446324545703583744/JFOi_Uh2_normal.jpg
NeandnationNFT,Neand Nation,Alternate timeline of Neanderthals,neandnationnft.com,0.08,2021-09-02 19:51:55+00:00,"An alternate timeline story that reflects the modern world of Neanderthals.

💫Pre-Sale: Nov 16th | 🚀Public Sale: Nov 17th | discord.gg/Tu83ekaW8Z",1097.0,6180.0,447.0,5.0,467.0,178.0,Pre-Sale: Nov 16th -  7 pm EST,https://pbs.twimg.com/profile_banners/1433517823477886976/1636480116,https://pbs.twimg.com/profile_images/1455142026152919048/1ZiBsEge_normal.jpg
rebelz_nft,The Rebelz,Rebel themed animal avatar NFTs,www.rebelznft.com,0.049,2021-09-04 13:48:20+00:00,"A collection of 10.000 #Rebelz, each more rebellious than the other.

Presale: Nov 17, 9AM EST
Public sale: Nov 17, 3PM EST

( discord.gg/rebelz )",154.0,2578.0,72.0,0.0,117.0,52.0,Rebelworld,https://pbs.twimg.com/profile_banners/1434151224396460032/1633997494,https://pbs.twimg.com/profile_images/1449467742961156100/xeYtwpLD_normal.jpg
M101_Shelter,M101 Shelter,Cool side-profile character of outer space themed NFTs,m101.space,0.06,2021-09-16 15:35:59+00:00,"M101 is generative side-profile transgalactic characters warping through space🪐               
Website → m101.space
Join Us on Discord → discord.gg/m101",62.0,21974.0,280.0,8.0,81.0,61.0,Cape Canaveral,https://pbs.twimg.com/profile_banners/1438526852239224836/1631815545,https://pbs.twimg.com/profile_images/1441011594947858434/shbYrcar_normal.jpg
boredmafiaclub,BoredMafia Club,Mafia themed avatar NFTs,www.boredmafiaclub.com,0.069,2015-07-01 03:35:10+00:00,"5000 unique Mafias with exclusive traits ready to rock the ETH blockchain.

Website:boredmafiaclub.com",14.0,6177.0,264.0,1.0,49.0,16.0,,https://pbs.twimg.com/profile_banners/3262871281/1634987214,https://pbs.twimg.com/profile_images/1452825467392724992/m0vzVxWD_normal.jpg
CryptoGrandmaz,CryptoGrandmas,Grandmother themed avatar NFTs,www.cryptograndmas.io,0.05,2021-10-01 06:36:31+00:00,"1111 Genesis CryptoGrandmas. 

Launching 17th of November on ETH

Join the Elderly: discord.gg/6Jue4gQ8kb 
Take part shaping CryptoArt future. Vibes 12/10",290.0,3531.0,77.0,1.0,99.0,15.0,Metaverse,https://pbs.twimg.com/profile_banners/1443827069696323585/1633959423,https://pbs.twimg.com/profile_images/1447571239376146442/5vIAOdej_normal.jpg
WalkersCrypto,CryptoWalkers,3D walking character NFTs,cryptowalkers.io,0.08,2021-08-16 11:08:02+00:00,"10,000 unique Walkers. 3D animated, fully rigged, programmatically generated and ready for the Metaverse. Presale Nov 18th! Discord: discord.gg/Amxt9SCX5r",332.0,4295.0,194.0,9.0,143.0,25.0,Blockchain,https://pbs.twimg.com/profile_banners/1427225580848746496/1632561106,https://pbs.twimg.com/profile_images/1454481325595955204/IZ0L6QRy_normal.png
multversofwomen,Multiverse of Women,Female first PFP community project,multiverseofwomen.art,0.05,2008-07-13 05:51:07+00:00,"10K female collectible with Unique traits #MoWNFT #MultiverseofWomen #NFT #NFTArt #WomeninNFT
discord.gg/znBWgFkVEP",2674.0,7384.0,344.0,160.0,2347.0,205.0,ERC-721,https://pbs.twimg.com/profile_banners/15412338/1633425891,https://pbs.twimg.com/profile_images/1445319238890233856/3Y2dKr6a_normal.jpg
comrades_NFT,Confidential Comrades,Pop-art styled secret agent themed NFTs,confidentialcomrades.io,0.06,2021-09-08 23:15:17+00:00,"Secret agents with something to add to the NFT space. Currently preparing for deployment, release date Nov. 19th on IMX | Discord: discord.gg/comrades",3416.0,1978.0,173.0,5.0,344.0,139.0,Location Unknown,https://pbs.twimg.com/profile_banners/1435743524788391949/1632719546,https://pbs.twimg.com/profile_images/1456351589602521120/DtEgCv0R_normal.jpg
getdogebillions,The Billionaire Doge Club,Rich themed dog avatar NFTs.,thebillionairedogeclub.com,0.0,2021-08-22 21:42:36+00:00,Official Launch Date:November 19 @7pm CST. Discord: discord.gg/bdc,276.0,24150.0,95.0,10.0,180.0,40.0,The Moon,https://pbs.twimg.com/profile_banners/1429559564194783242/1635195977,https://pbs.twimg.com/profile_images/1455348245568184322/1Psg2ObQ_normal.jpg
DRIPPYZOMBIES,Drippyzombies,Zombie themed NFTs with claimable physical items,www.drippyzombies.com,0.08,2021-08-21 17:47:39+00:00,"DRIPPY ZOMBIES is a collection of 8,000 unique zombie NFT collectibles. 

discord.gg/drippyzombies",750.0,10404.0,639.0,4.0,104.0,33.0,,https://pbs.twimg.com/profile_banners/1429137308712845325/1632511209,https://pbs.twimg.com/profile_images/1441414436057718784/4FGTyxE0_normal.jpg
LookAtMyRaccoon,Look At My Raccoon,Racoon themed avatar NFTs on Ethereum,lookatmyraccoon.com,0.06,2021-03-24 12:47:41+00:00,"Look at my Raccoon is a collection of 10,000 Racoons programmatically generated with python and stored as an ERC721 token on the Ethereum blockchain.",503.0,2913.0,161.0,5.0,230.0,80.0,,https://pbs.twimg.com/profile_banners/1374704448489062404/1630265387,https://pbs.twimg.com/profile_images/1456945262589534211/7G-MWqUw_normal.jpg
